1.000,0.0000000
0.999,0.0000000
0.998,0.0000000
0.997,0.0000000
0.996,0.0000917
0.995,0.0001083
0.994,0.0000000
0.993,0.0000000
0.992,0.0000000
0.991,0.0000000
0.990,0.0000000
0.989,0.0001000
0.988,0.0001000
0.987,0.0000000
0.986,0.0000833
0.985,0.0001167
0.984,0.0001667
0.983,0.0000333
0.982,0.0003250
0.981,0.0000750
0.980,0.0000000
0.979,0.0000000
0.978,0.0000000
0.977,0.0002250
0.976,0.0001750
0.975,0.0000000
0.974,0.0000000
0.973,0.0000000
0.972,0.0000000
0.971,0.0000000
0.970,0.0000000
0.969,0.0000000
0.968,0.0000000
0.967,0.0000000
0.966,0.0000000
0.965,0.0000000
0.964,0.0000000
0.963,0.0000833
0.962,0.0001167
0.961,0.0001083
0.960,0.0000917
0.959,0.0001250
0.958,0.0002250
0.957,0.0001750
0.956,0.0000750
0.955,0.0001250
0.954,0.0000750
0.953,0.0000000
0.952,0.0000000
0.951,0.0000000
0.950,0.0001000
0.949,0.0001000
0.948,0.0000000
0.947,0.0000000
0.946,0.0000000
0.945,0.0000000
0.944,0.0000000
0.943,0.0001500
0.942,0.0000500
0.941,0.0001667
0.940,0.0001167
0.939,0.0002833
0.938,0.0000333
0.937,0.0000000
0.936,0.0000000
0.935,0.0001167
0.934,0.0000833
0.933,0.0000000
0.932,0.0000000
0.931,0.0000000
0.930,0.0000000
0.929,0.0000000
0.928,0.0004083
0.927,0.0001917
0.926,0.0001167
0.925,0.0002917
0.924,0.0001917
0.923,0.0000000
0.922,0.0000000
0.921,0.0001333
0.920,0.0002083
0.919,0.0000583
0.918,0.0000000
0.917,0.0000000
0.916,0.0000000
0.915,0.0000000
0.914,0.0001250
0.913,0.0001667
0.912,0.0001083
0.911,0.0000000
0.910,0.0000000
0.909,0.0002333
0.908,0.0003333
0.907,0.0002667
0.906,0.0001667
0.905,0.0001250
0.904,0.0002250
0.903,0.0003583
0.902,0.0002333
0.901,0.0001667
0.900,0.0000917
0.899,0.0002500
0.898,0.0001500
0.897,0.0000000
0.896,0.0001000
0.895,0.0001000
0.894,0.0000000
0.893,0.0000000
0.892,0.0000000
0.891,0.0000000
